"miR" "testes" "sample_num"
"583" "hsa-miR-3613-5p" 0 57
"584" "hsa-miR-361-3p" 0 57
"585" "hsa-miR-3614-3p" 0 57
"586" "hsa-miR-3614-5p" 1 57
"587" "hsa-miR-3615" 1 57
"588" "hsa-miR-361-5p" 1 57
"589" "hsa-miR-3616-3p" 0 57
"590" "hsa-miR-3616-5p" 0 57
"591" "hsa-miR-3617" 0 57
"592" "hsa-miR-3618" 0 57
"593" "hsa-miR-3619" 0 57
"594" "hsa-miR-3620" 0 57
"595" "hsa-miR-3621" 0 57
"596" "hsa-miR-3622a-3p" 0 57
"597" "hsa-miR-3622a-5p" 0 57
"598" "hsa-miR-3622b-3p" 0 57
"599" "hsa-miR-3622b-5p" 0 57
"600" "hsa-miR-362-3p" 1 57
"601" "hsa-miR-362-5p" 1 57
"602" "hsa-miR-363" 0 57
"603" "hsa-miR-363*" 0 57
"604" "hsa-miR-3646" 0 57
"605" "hsa-miR-3647-3p" 0 57
"606" "hsa-miR-3647-5p" 0 57
"607" "hsa-miR-3648" 0 57
"608" "hsa-miR-3649" 0 57
"609" "hsa-miR-365" 0 57
"610" "hsa-miR-365*" 0 57
"611" "hsa-miR-3650" 0 57
"612" "hsa-miR-3651" 0 57
"613" "hsa-miR-3652" 0 57
"614" "hsa-miR-3653" 0 57
"615" "hsa-miR-3654" 0 57
"616" "hsa-miR-3655" 0 57
"617" "hsa-miR-3656" 0 57
"618" "hsa-miR-3657" 0 57
"619" "hsa-miR-3658" 0 57
"620" "hsa-miR-3659" 0 57
"621" "hsa-miR-3660" 0 57
"622" "hsa-miR-3661" 0 57
"623" "hsa-miR-3662" 0 57
"624" "hsa-miR-3663-3p" 0 57
"625" "hsa-miR-3663-5p" 0 57
"626" "hsa-miR-3664" 0 57
"627" "hsa-miR-3665" 0 57
"628" "hsa-miR-3666" 0 57
"629" "hsa-miR-3667-3p" 0 57
"630" "hsa-miR-3667-5p" 0 57
"631" "hsa-miR-3668" 0 57
"632" "hsa-miR-3669" 0 57
"633" "hsa-miR-367" 0 57
"634" "hsa-miR-367*" 0 57
"635" "hsa-miR-3670" 0 57
"636" "hsa-miR-3671" 0 57
"637" "hsa-miR-3672" 0 57
"638" "hsa-miR-3673" 0 57
"639" "hsa-miR-3674" 0 57
"640" "hsa-miR-3675-3p" 0 57
"641" "hsa-miR-3675-5p" 0 57
"642" "hsa-miR-3676" 0 57
"643" "hsa-miR-3677" 0 57
"644" "hsa-miR-3678-3p" 0 57
"645" "hsa-miR-3678-5p" 0 57
"646" "hsa-miR-3679-3p" 0 57
"647" "hsa-miR-3679-5p" 1 57
"648" "hsa-miR-3680" 0 57
"649" "hsa-miR-3680*" 0 57
"650" "hsa-miR-3681" 0 57
"651" "hsa-miR-3681*" 0 57
"652" "hsa-miR-3682" 0 57
"653" "hsa-miR-3683" 0 57
"654" "hsa-miR-3684" 0 57
"655" "hsa-miR-3685" 0 57
"656" "hsa-miR-3686" 0 57
"657" "hsa-miR-3687" 0 57
"658" "hsa-miR-3688" 0 57
"659" "hsa-miR-3689a-3p" 0 57
"660" "hsa-miR-3689a-5p" 0 57
"661" "hsa-miR-3689b" 0 57
"662" "hsa-miR-3689b*" 0 57
"663" "hsa-miR-3690" 0 57
"664" "hsa-miR-3691" 0 57
"665" "hsa-miR-3692" 0 57
"666" "hsa-miR-3692*" 0 57
"667" "hsa-miR-369-3p" 0 57
"668" "hsa-miR-369-5p" 0 57
"669" "hsa-miR-370" 1 57
"670" "hsa-miR-3713" 0 57
"671" "hsa-miR-371-3p" 0 57
"672" "hsa-miR-3714" 0 57
"673" "hsa-miR-371-5p" 0 57
"674" "hsa-miR-372" 0 57
"675" "hsa-miR-373" 1 57
"676" "hsa-miR-373*" 0 57
"677" "hsa-miR-374a" 0 57
"678" "hsa-miR-374a*" 0 57
"679" "hsa-miR-374b" 1 57
"680" "hsa-miR-374b*" 0 57
"681" "hsa-miR-374c" 0 57
"682" "hsa-miR-375" 1 57
"683" "hsa-miR-376a" 0 57
"684" "hsa-miR-376a*" 1 57
"685" "hsa-miR-376b" 1 57
"686" "hsa-miR-376c" 0 57
"687" "hsa-miR-377" 0 57
"688" "hsa-miR-377*" 0 57
"689" "hsa-miR-378" 0 57
"690" "hsa-miR-378*" 0 57
"691" "hsa-miR-378b" 0 57
"692" "hsa-miR-378c" 0 57
"693" "hsa-miR-379" 0 57
"694" "hsa-miR-379*" 0 57
"695" "hsa-miR-380" 1 57
"696" "hsa-miR-380*" 0 57
"697" "hsa-miR-381" 0 57
"698" "hsa-miR-382" 0 57
"699" "hsa-miR-383" 0 57
"700" "hsa-miR-384" 0 57
"701" "hsa-miR-3907" 0 57
"702" "hsa-miR-3908" 0 57
"703" "hsa-miR-3909" 0 57
"704" "hsa-miR-3910" 0 57
"705" "hsa-miR-3911" 0 57
"706" "hsa-miR-3912" 0 57
"707" "hsa-miR-3913" 1 57
"708" "hsa-miR-3914" 0 57
"709" "hsa-miR-3915" 0 57
"710" "hsa-miR-3916" 1 57
"711" "hsa-miR-3917" 0 57
"712" "hsa-miR-3918" 0 57
"713" "hsa-miR-3919" 0 57
"714" "hsa-miR-3920" 0 57
