"miR" "adipose.tissue" "sample_num"
"630" "hsa-miR-34a-5p" 71 200
"631" "hsa-miR-34b-3p" 7 200
"632" "hsa-miR-34b-5p" 30 200
"633" "hsa-miR-34c-3p" 16 200
"634" "hsa-miR-34c-5p" 37 200
"635" "hsa-miR-3529-3p" 0 200
"636" "hsa-miR-3529-5p" 0 200
"637" "hsa-miR-3545-3p" 0 200
"638" "hsa-miR-3545-5p" 0 200
"639" "hsa-miR-3591-3p" 0 200
"640" "hsa-miR-3591-5p" 0 200
"641" "hsa-miR-3605-3p" 47 200
"642" "hsa-miR-3605-5p" 91 200
"643" "hsa-miR-3606" 0 200
"644" "hsa-miR-3607-3p" 64 200
"645" "hsa-miR-3607-5p" 14 200
"646" "hsa-miR-3609" 80 200
"647" "hsa-miR-3610" 0 200
"648" "hsa-miR-3611" 3 200
"649" "hsa-miR-3612" 23 200
"650" "hsa-miR-3613-3p" 55 200
"651" "hsa-miR-3613-5p" 61 200
"652" "hsa-miR-361-3p" 57 200
"653" "hsa-miR-3614-3p" 2 200
"654" "hsa-miR-3614-5p" 59 200
"655" "hsa-miR-3615" 62 200
"656" "hsa-miR-361-5p" 24 200
"657" "hsa-miR-3616-3p" 0 200
"658" "hsa-miR-3616-5p" 0 200
"659" "hsa-miR-3617" 0 200
"660" "hsa-miR-3618" 0 200
"661" "hsa-miR-3619-3p" 0 200
"662" "hsa-miR-3619-5p" 0 200
"663" "hsa-miR-3620" 23 200
"664" "hsa-miR-3621" 0 200
"665" "hsa-miR-3622a-3p" 0 200
"666" "hsa-miR-3622a-5p" 1 200
